Podsumowanie:
54  Wojtek
44  Marcin_FBI
39  drab111
35  JakubPaczek
26  Marcin
3  FBI223
3  Wiktor
3  fidren



Logi z GitHub:

git log --all --pretty=format:'%h %an %s %d %ad' --date=iso
8df06a9 Marcin_FBI dzialajaca aplikacja , wersja v114  (origin/exe, exe) 2024-06-08 22:12:30 +0200
5e96daa Marcin_FBI On main: fdfgbdffgdfgdfg  (refs/stash) 2024-06-08 22:10:39 +0200
2d16385 Marcin_FBI index on main: fe623af stara wersja notifications  2024-06-08 22:10:39 +0200
fe623af drab111 stara wersja notifications  (HEAD -> main, origin/main, origin/HEAD) 2024-06-08 21:53:57 +0200
6330afa drab111 final version  2024-06-08 21:42:02 +0200
8d74e82 JakubPaczek Poprawa błędu z powatarzającymi się odpowiedziami  2024-06-08 20:20:37 +0200
8bb44ba Marcin_FBI dzialajaca aplikacja , wersja v113  2024-06-08 18:48:47 +0200
b477677 JakubPaczek za długa nazwa przycisku  2024-06-08 17:52:24 +0200
9e2408e fidren Delete tests/TestMainMenu.py  2024-06-08 17:30:42 +0200
965210f JakubPaczek refaktoryzacja studyflashcardmenu  2024-06-08 17:16:54 +0200
be0472d JakubPaczek back_up_db komentarz  2024-06-08 16:39:12 +0200
7454112 Wojtek Merge branch 'main' of https://github.com/fidren/flashmind  2024-06-08 16:38:05 +0200
aed5c3e Wojtek Dodanie ExecuteAllTests  2024-06-08 16:37:43 +0200
bb0a94c JakubPaczek Merge branch 'main' of https://github.com/fidren/flashmind  2024-06-08 16:29:00 +0200
0d43d68 Wojtek Merge branch 'main' of https://github.com/fidren/flashmind  2024-06-08 16:28:59 +0200
d89ab8b drab111 naprawa  (origin/test2, test2) 2024-06-08 16:28:31 +0200
2d43ba1 Wojtek Poprawa TestDragDropMenu  2024-06-08 16:28:26 +0200
ec9183f JakubPaczek kolejnosc funkcji  2024-06-08 16:28:10 +0200
a05e9b1 Wojtek Dodanie TestTypeCheckMenu  2024-06-08 16:27:48 +0200
1e7785c JakubPaczek kolejnosc funkcji  2024-06-08 16:27:47 +0200
a44422b JakubPaczek sciezka -> db_path  2024-06-08 16:16:54 +0200
7846db8 drab111 dodanie str  2024-06-08 16:13:14 +0200
c0a185c Wojtek Dodanie TestTypeCheckMenu  2024-06-08 16:08:09 +0200
03314f3 Wojtek Poprawa TestTimerApp  2024-06-08 15:33:20 +0200
10693d5 Wojtek Dodanie TestShowHideMenu  2024-06-08 15:31:09 +0200
0ff1410 drab111 reset stats  2024-06-08 15:15:45 +0200
8ae2fe3 drab111 Delete EditSetMenu.py  2024-06-08 15:15:24 +0200
ed52e05 drab111 naprawa reset stats  2024-06-08 15:15:05 +0200
c2da7ce JakubPaczek testy kolejne (timer itd.)  2024-06-08 15:00:45 +0200
c03138a JakubPaczek testy  2024-06-08 14:48:52 +0200
57c6527 Wojtek Aktualizacja TestTimerApp  2024-06-08 14:39:57 +0200
df94a35 Wojtek Merge branch 'main' of https://github.com/fidren/flashmind  2024-06-08 14:31:17 +0200
cf4410b Wojtek Aktualizacja TestShowHideMenu  2024-06-08 14:28:05 +0200
8c3b066 Marcin_FBI dzialajaca aplikacja , wersja v112  2024-06-08 11:13:33 +0200
f98b69a Marcin_FBI dzialajaca aplikacja , wersja v111  2024-06-08 11:12:32 +0200
673496b Marcin_FBI mala poprawka notifications installery  2024-06-08 11:07:45 +0200
ce731ab Marcin_FBI mala poprawka notifications oraz srednio dzalajace installery  2024-06-08 11:06:58 +0200
0cfbcad JakubPaczek settings fix  2024-06-07 17:21:15 +0200
6815e49 JakubPaczek settings fix  2024-06-07 17:20:49 +0200
b9d068e JakubPaczek import export fix  2024-06-07 17:12:50 +0200
9d73af9 JakubPaczek timer fix  2024-06-07 17:05:06 +0200
e43a860 JakubPaczek sett  2024-06-07 17:02:20 +0200
4e5b293 JakubPaczek przed  2024-06-07 17:00:09 +0200
bb94ea9 JakubPaczek oldnew  (origin/master) 2024-06-07 16:40:14 +0200
22fc291 JakubPaczek Merge remote-tracking branch 'origin/main'  2024-06-07 16:36:09 +0200
2739617 drab111 powrót do starej wersji importu/eksportu  2024-06-07 16:30:31 +0200
c0f37b3 JakubPaczek fix import, timer  2024-06-07 16:28:39 +0200
a93ae3d JakubPaczek timer fix  2024-06-07 16:18:38 +0200
45d57e1 drab111 powrot do wczesniejszego kodu  2024-06-07 16:05:16 +0200
b9968e8 Wojtek Niedokończony TestDragDropMenu  2024-06-07 15:39:24 +0200
2985963 Wojtek Dodanie TestTimerApp  2024-06-07 15:17:27 +0200
145e88a Wojtek Niedokończony TestMainMenu  2024-06-07 14:13:33 +0200
8a59bd2 Wojtek Dodanie TestEditSetMenu  2024-06-07 13:32:02 +0200
c490eb5 Wojtek Zmiany w nazwach metod  2024-06-07 13:18:13 +0200
0ac58a3 Wojtek Zmiany w nazwach metod  2024-06-07 13:16:59 +0200
78ddf03 Wojtek Poprawa TestStudyFlashcardMenu  2024-06-07 13:01:04 +0200
ac3066a Wojtek Poprawa TestStudyFlashcardMenu  2024-06-07 12:53:34 +0200
b54e939 Wojtek Poprawa TestSettingMenu  2024-06-07 12:25:46 +0200
920d344 Wojtek Merge branch 'main' of https://github.com/fidren/flashmind  2024-06-07 12:22:20 +0200
874862a Wojtek Zmiany  2024-06-07 12:21:24 +0200
d153e7f Wojtek Poprawa TestProfileMenu  2024-06-07 12:17:36 +0200
fadbc20 JakubPaczek komentarz  2024-06-07 11:50:03 +0200
8227221 JakubPaczek komentarz  2024-06-07 11:48:56 +0200
ca64461 JakubPaczek zminna  2024-06-07 11:46:32 +0200
ade1941 JakubPaczek Twoja wiadomość commita  2024-06-07 11:43:52 +0200
13f4699 JakubPaczek Merge branch 'main' of https://github.com/fidren/flashmind  2024-06-07 11:43:52 +0200
6a373b9 JakubPaczek studyflashcardmenu refaktoryzacja  2024-06-07 11:39:27 +0200
982732b JakubPaczek przerwa  2024-06-07 11:15:07 +0200
641e470 JakubPaczek refaktoryzacja notifications  2024-06-07 11:14:31 +0200
2f37a66 JakubPaczek Refaktoryzacja exportSelectedSets  2024-06-07 11:07:35 +0200
6681807 FBI223 Merge remote-tracking branch 'origin/main'  2024-06-07 11:06:19 +0200
b4886a5 FBI223 zapisywanie kolorow do bazy, poprawione set do default settings  2024-06-07 11:06:06 +0200
f5392bb Wojtek Dodanie folderu z testami  2024-06-07 10:49:11 +0200
a124a82 drab111 naprawa buga  2024-06-07 06:34:31 +0200
925cab8 JakubPaczek Refaktoryzacja i bugfix'y editflashcardmenu  2024-06-06 21:53:06 +0200
b8f21f6 JakubPaczek path fix  2024-06-06 21:43:36 +0200
d46f540 JakubPaczek refaktoryzacja flashcardapp.py  2024-06-06 21:18:08 +0200
